id,sport,type,canonical_name,zh_hans,zh_hant,en,ja,es,aliases
fb_1_fsv_mainz_05,football,team,1. FSV Mainz 05,美因茨,緬恩斯,Mainz 05,1.FSVマインツ05,Maguncia,1. FSV Mainz 05 | Mainz | Mainz 05 | 緬恩斯 | 美因茨
fb_2_de_mayo,football,team,2 de Mayo,五月二日,五月二日,2 de Mayo,2・デ・マヨ,2 de Mayo,2 de Mayo | 五月二日
fb_aa_argentinos_juniors,football,team,AA Argentinos Juniors,阿根廷青年人,小阿根廷人,Argentinos Juniors,AAアルヘンティノス・ジュニアーズ,Argentinos Juniors,AA Argentinos Juniors | Argentinos Juniors | 小阿根廷人 | 阿根廷青年人
fb_ac_milan,football,team,AC Milan,AC米兰,AC米蘭,AC Milan,ACミラン,AC Milan,AC Milan | AC米兰 | AC米蘭 | Milan | 红黑军团
fb_ac_monza,football,team,AC Monza,蒙扎,蒙沙,Monza,ACモンツァ,Monza,AC Monza | Monza | 蒙扎 | 蒙沙
fb_ac_pisa_1909,football,team,AC Pisa 1909,比萨,比薩,Pisa,ACピサ1909,Pisa,AC Pisa 1909 | Pisa | 比萨 | 比薩
fb_acf_fiorentina,football,team,ACF Fiorentina,佛罗伦萨,費倫天拿,Fiorentina,ACFフィオレンティーナ,Fiorentina,ACF Fiorentina | Fiorentina | 佛罗伦萨 | 紫百合 | 費倫天拿
fb_ado_den_haag,football,team,ADO Den Haag,海牙,海牙,ADO Den Haag,ADOデン・ハーグ,ADO Den Haag,ADO Den Haag | Den Haag | 海牙
fb_afc_ajax,football,team,AFC Ajax,阿贾克斯,阿積士,Ajax,アヤックス,Ajax,AFC Ajax | Ajax | 阿積士 | 阿贾克斯
fb_afc_bournemouth,football,team,AFC Bournemouth,伯恩茅斯,般尼茅夫,Bournemouth,ボーンマス,Bournemouth,AFC Bournemouth | Bournemouth | 伯恩茅斯 | 般尼茅夫
fb_aj_auxerre,football,team,AJ Auxerre,欧塞尔,歐塞爾,Auxerre,AJオセール,Auxerre,AJ Auxerre | Auxerre | 欧塞尔 | 歐塞爾
fb_as_monaco_fc,football,team,AS Monaco FC,摩纳哥,摩納哥,Monaco,ASモナコ,Mónaco,AS Monaco FC | Monaco | 摩納哥 | 摩纳哥
fb_as_roma,football,team,AS Roma,罗马,羅馬,AS Roma,ASローマ,AS Roma,AS Roma | Roma | 红狼 | 罗马 | 羅馬
fb_avs,football,team,AVS,AVS俱乐部,AVS體育會,AVS,AVSフトボル,AVS,AVS | AVS Futebol | AVS俱乐部 | AVS體育會
fb_az,football,team,AZ,阿尔克马尔,阿爾克馬爾,AZ Alkmaar,AZアルクマール,AZ Alkmaar,AZ | AZ Alkmaar | 阿尔克马尔 | 阿爾克馬爾
fb_acad_mico_de_viseu_fc,football,team,Académico de Viseu FC,维塞乌学院,維塞烏學院,Académico de Viseu,アカデミコ・デ・ヴィゼウFC,Académico de Viseu,Academico de Viseu | Académico de Viseu | Académico de Viseu FC | 維塞烏學院 | 维塞乌学院
fb_algeria,football,team,Algeria,阿尔及利亚,阿爾及利亞,Algeria,アルジェリア,Argelia,Algeria | 阿尔及利亚 | 阿爾及利亞
fb_angers_sco,football,team,Angers SCO,昂热,昂熱,Angers,アンジェSCO,Angers,Angers | Angers SCO | 昂热 | 昂熱
fb_argentina,football,team,Argentina,阿根廷,阿根廷,Argentina,アルゼンチン,Argentina,Argentina | 阿根廷
fb_arsenal_fc,football,team,Arsenal FC,阿森纳,阿仙奴,Arsenal,アーセナル,Arsenal,Arsenal | Arsenal FC | 枪手 | 阿仙奴 | 阿森纳
fb_aston_villa_fc,football,team,Aston Villa FC,阿斯顿维拉,阿士東維拉,Aston Villa,アストン・ヴィラ,Aston Villa,Aston Villa | Aston Villa FC | 维拉 | 阿士東維拉 | 阿斯顿维拉
fb_atalanta_bc,football,team,Atalanta BC,亚特兰大,阿特蘭大,Atalanta,アタランタBC,Atalanta,Atalanta | Atalanta BC | 亚特兰大 | 真蓝黑 | 阿特蘭大
fb_athletic_club,football,team,Athletic Club,毕尔巴鄂竞技,畢爾包,Athletic Club,アスレティック・ビルバオ,Athletic Club,Athletic Bilbao | Athletic Club | 毕尔巴鄂竞技 | 畢爾包
fb_australia,football,team,Australia,澳大利亚,澳洲,Australia,オーストラリア,Australia,Australia | 澳大利亚 | 澳洲
fb_austria,football,team,Austria,奥地利,奧地利,Austria,オーストリア,Austria,Austria | 奥地利 | 奧地利
fb_barcelona_sc,football,team,Barcelona SC,巴塞罗那SC,巴塞隆拿SC,Barcelona SC,バルセロナSC,Barcelona SC,Barcelona SC | 厄瓜多尔巴塞罗那 | 巴塞罗那SC | 巴塞隆拿SC
fb_bayer_04_leverkusen,football,team,Bayer 04 Leverkusen,勒沃库森,利華古遜,Bayer Leverkusen,バイエル・レバークーゼン,Bayer Leverkusen,Bayer 04 Leverkusen | Bayer Leverkusen | Leverkusen | 利華古遜 | 勒沃库森 | 药厂
fb_belgium,football,team,Belgium,比利时,比利時,Belgium,ベルギー,Bélgica,Belgium | 比利时 | 比利時
fb_birmingham_city_fc,football,team,Birmingham City FC,伯明翰,伯明翰,Birmingham City,バーミンガム・シティ,Birmingham City,Birmingham City | Birmingham City FC | 伯明翰
fb_blackburn_rovers_fc,football,team,Blackburn Rovers FC,布莱克本,布力般流浪,Blackburn Rovers,ブラックバーン・ローヴァーズ,Blackburn Rovers,Blackburn Rovers | Blackburn Rovers FC | 布力般流浪 | 布莱克本
fb_bologna_fc_1909,football,team,Bologna FC 1909,博洛尼亚,博洛尼亞,Bologna,ボローニャFC1909,Bologna,Bologna | Bologna FC 1909 | 博洛尼亚 | 博洛尼亞
fb_bolton_wanderers_fc,football,team,Bolton Wanderers FC,博尔顿,保顿,Bolton Wanderers,ボルトン・ワンダラーズ,Bolton Wanderers,Bolton | Bolton Wanderers | Bolton Wanderers FC | 保顿 | 博尔顿
fb_borussia_dortmund,football,team,Borussia Dortmund,多特蒙德,多蒙特,Borussia Dortmund,ボルシア・ドルトムント,Borussia Dortmund,BVB | Borussia Dortmund | Dortmund | 多特蒙德 | 多蒙特 | 大黄蜂
fb_borussia_m_nchengladbach,football,team,Borussia Mönchengladbach,门兴格拉德巴赫,慕遜加柏,Mönchengladbach,ボルシア・メンヒェングラートバッハ,Borussia Mönchengladbach,Borussia Mönchengladbach | Gladbach | Mönchengladbach | 慕遜加柏 | 门兴 | 门兴格拉德巴赫
fb_bosnia_herzegovina,football,team,Bosnia-Herzegovina,波黑,波斯尼亞,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ,Bosnia y Herzegovina,Bosnia and Herzegovina | Bosnia-Herzegovina | 波斯尼亚和黑塞哥维那 | 波斯尼亞 | 波黑
fb_botafogo_fr,football,team,Botafogo FR,博塔弗戈,保地花高,Botafogo,ボタフォゴ,Botafogo,Botafogo | Botafogo FR | 保地花高 | 博塔弗戈
fb_brazil,football,team,Brazil,巴西,巴西,Brazil,ブラジル,Brasil,Brazil | 巴西
fb_brentford_fc,football,team,Brentford FC,布伦特福德,賓福特,Brentford,ブレントフォード,Brentford,Brentford | Brentford FC | 小蜜蜂 | 布伦特福德 | 賓福特
fb_brighton_hove_albion_fc,football,team,Brighton & Hove Albion FC,布莱顿,白礼顿,Brighton,ブライトン,Brighton,Brighton | Brighton & Hove Albion FC | 布莱顿 | 海鸥 | 白礼顿
fb_bristol_city_fc,football,team,Bristol City FC,布里斯托尔城,布里斯托城,Bristol City,ブリストル・シティ,Bristol City,Bristol City | Bristol City FC | 布里斯托城 | 布里斯托尔城
fb_burnley_fc,football,team,Burnley FC,伯恩利,般尼,Burnley,バーンリー,Burnley,Burnley | Burnley FC | 伯恩利 | 般尼
fb_ca_boca_juniors,football,team,CA Boca Juniors,博卡青年,小保加,Boca Juniors,ボカ・ジュニアーズ,Boca Juniors,Boca | Boca Juniors | CA Boca Juniors | 博卡青年 | 小保加
fb_ca_lan_s,football,team,CA Lanús,拉努斯,拉魯斯,Lanús,CAラヌース,Lanús,CA Lanús | Lanus | Lanús | 拉努斯 | 拉魯斯
fb_ca_mineiro,football,team,CA Mineiro,米内罗竞技,明尼路,Atlético Mineiro,アトレチコ・ミネイロ,Atlético Mineiro,Atlético Mineiro | CA Mineiro | 明尼路 | 米内罗竞技
fb_ca_osasuna,football,team,CA Osasuna,奥萨苏纳,奧沙辛拿,Osasuna,オサスナ,Osasuna,CA Osasuna | Osasuna | 奥萨苏纳 | 奧沙辛拿
fb_ca_paranaense,football,team,CA Paranaense,巴拉纳竞技,帕拉尼恩斯,Athletico Paranaense,アトレチコ・パラナエンセ,Athletico Paranaense,Athletico Paranaense | CA Paranaense | 巴拉纳竞技 | 帕拉尼恩斯
fb_ca_pe_arol,football,team,CA Peñarol,佩纳罗尔,彭拿路,Peñarol,CAペニャロール,Peñarol,CA Peñarol | Penarol | Peñarol | 佩纳罗尔 | 彭拿路
fb_ca_platense,football,team,CA Platense,普拉滕斯,普拉坦斯,Platense,CAプラテンセ,Platense,CA Platense | Platense | 普拉坦斯 | 普拉滕斯
fb_ca_river_plate,football,team,CA River Plate,河床,河床,River Plate,リーベル・プレート,River Plate,CA River Plate | River Plate | 河床
fb_ca_rosario_central,football,team,CA Rosario Central,罗萨里奥中央,羅沙里奧中央,Rosario Central,CAロサリオ・セントラル,Rosario Central,CA Rosario Central | Rosario Central | 罗萨里奥中央 | 羅沙里奧中央
fb_ca_v_lez_sarsfield,football,team,CA Vélez Sarsfield,萨斯菲尔德,沙士菲,Vélez Sarsfield,CAベレス・サルスフィエルド,Vélez Sarsfield,CA Vélez Sarsfield | Velez Sarsfield | Vélez Sarsfield | 沙士菲 | 萨斯菲尔德
fb_car_independiente_del_valle,football,team,CAR Independiente del Valle,山谷独立,迪華利獨立隊,Independiente del Valle,インデペンディエンテ・デル・バジェ,Independiente del Valle,CAR Independiente del Valle | Independiente del Valle | 山谷独立 | 迪華利獨立隊
fb_cd_coquimbo_unido,football,team,CD Coquimbo Unido,科金博联合,哥金博,Coquimbo Unido,CDコキンボ・ウニド,Coquimbo Unido,CD Coquimbo Unido | Coquimbo Unido | 哥金博 | 科金博联合
fb_cd_huachipato,football,team,CD Huachipato,瓦奇帕托,華奇巴托,Huachipato,CDウアチパト,Huachipato,CD Huachipato | Huachipato | 瓦奇帕托 | 華奇巴托
fb_cd_independiente_medell_n,football,team,CD Independiente Medellín,麦德林独立,麥德林獨立,Independiente Medellín,インデペンディエンテ・メデジン,Independiente Medellín,CD Independiente Medellín | Independiente Medellin | Independiente Medellín | 麥德林獨立 | 麦德林独立
fb_cd_nacional,football,team,CD Nacional,马德拉国民,國民隊,Nacional da Madeira,CDナシオナル,Nacional,CD Nacional | Nacional | Nacional da Madeira | 國民隊 | 马德拉国民
fb_cd_santa_clara,football,team,CD Santa Clara,圣克拉拉,辛達卡拉,Santa Clara,CDサンタ・クララ,Santa Clara,CD Santa Clara | Santa Clara | 圣克拉拉 | 辛達卡拉
fb_cd_tolima,football,team,CD Tolima,托利马体育,杜利馬,Deportes Tolima,CDトリマ,Deportes Tolima,CD Tolima | Deportes Tolima | 托利马体育 | 杜利馬
fb_cd_tondela,football,team,CD Tondela,通德拉,唐迪拉,Tondela,CDトンデラ,Tondela,CD Tondela | Tondela | 唐迪拉 | 通德拉
fb_cd_universidad_cat_lica,football,team,CD Universidad Católica,天主教大学,天主教大學,Universidad Católica,ウニベルシダ・カトリカ,Universidad Católica,CD Universidad Católica | Universidad Catolica | Universidad Católica | 天主教大学 | 天主教大學 | 智利天主教大学
fb_cdc_atl_tico_nacional,football,team,CDC Atlético Nacional,国民竞技,國民體育會,Atlético Nacional,アトレティコ・ナシオナル,Atlético Nacional,Atletico Nacional | Atlético Nacional | CDC Atlético Nacional | 国民竞技 | 國民體育會
fb_cdp_junior_fc,football,team,CDP Junior FC,巴兰基亚青年,青年體育會,Junior FC,ジュニオールFC,Junior de Barranquilla,CDP Junior FC | Junior FC | 巴兰基亚青年 | 青年體育會
fb_cf_estrela_da_amadora,football,team,CF Estrela da Amadora,阿马多拉之星,阿馬多拉之星,Estrela da Amadora,CFエストレラ・アマドーラ,Estrela da Amadora,CF Estrela da Amadora | Estrela da Amadora | 阿馬多拉之星 | 阿马多拉之星
fb_cr_flamengo,football,team,CR Flamengo,弗拉门戈,法林明高,Flamengo,フラメンゴ,Flamengo,CR Flamengo | Flamengo | 弗拉门戈 | 法林明高
fb_cr_vasco_da_gama,football,team,CR Vasco da Gama,达伽马,華斯高,Vasco da Gama,ヴァスコ・ダ・ガマ,Vasco da Gama,CR Vasco da Gama | Vasco da Gama | 華斯高 | 达伽马
fb_cs_cristal,football,team,CS Cristal,水晶体育,水晶體育,Sporting Cristal,スポルティング・クリスタル,Sporting Cristal,CS Cristal | Sporting Cristal | 水晶体育 | 水晶體育
fb_cs_independiente_rivadavia,football,team,CS Independiente Rivadavia,里瓦达维亚独立,利瓦達維亞獨立,Independiente Rivadavia,インデペンディエンテ・リバダビア,Independiente Rivadavia,CS Independiente Rivadavia | Independiente Rivadavia | 利瓦達維亞獨立 | 里瓦达维亚独立
fb_cs_mar_timo,football,team,CS Marítimo,马里蒂莫,馬里迪莫,Marítimo,CSマリティモ,Marítimo,CS Marítimo | Maritimo | Marítimo | 馬里迪莫 | 马里蒂莫
fb_cagliari_calcio,football,team,Cagliari Calcio,卡利亚里,卡利亞里,Cagliari,カリアリ・カルチョ,Cagliari,Cagliari | Cagliari Calcio | 卡利亚里 | 卡利亞里
fb_canada,football,team,Canada,加拿大,加拿大,Canada,カナダ,Canadá,Canada | 加拿大
fb_cape_verde_islands,football,team,Cape Verde Islands,佛得角,佛得角,Cape Verde,カーボベルデ,Cabo Verde,Cabo Verde | Cape Verde | Cape Verde Islands | 佛得角
fb_carabobo_fc,football,team,Carabobo FC,卡拉波波,卡拉波波,Carabobo,カラボボFC,Carabobo,Carabobo | Carabobo FC | 卡拉波波
fb_cardiff_city_fc,football,team,Cardiff City FC,卡迪夫城,卡迪夫城,Cardiff City,カーディフ・シティ,Cardiff City,Cardiff City | Cardiff City FC | 卡迪夫城
fb_casa_pia_ac,football,team,Casa Pia AC,卡萨皮亚,卡薩比亞,Casa Pia,カーザ・ピアAC,Casa Pia,Casa Pia | Casa Pia AC | 卡萨皮亚 | 卡薩比亞
fb_cear_sc,football,team,Ceará SC,塞阿拉,施亞拉,Ceará,セアラー,Ceará,Ceara | Ceará | Ceará SC | 塞阿拉 | 施亞拉
fb_chapecoense_af,football,team,Chapecoense AF,沙佩科恩斯,查比高恩斯,Chapecoense,シャペコエンセ,Chapecoense,Chapecoense | Chapecoense AF | 查比高恩斯 | 沙佩科恩斯
fb_charlton_athletic_fc,football,team,Charlton Athletic FC,查尔顿竞技,查尔顿,Charlton Athletic,チャールトン・アスレティック,Charlton Athletic,Charlton | Charlton Athletic | Charlton Athletic FC | 查尔顿 | 查尔顿竞技
fb_chelsea_fc,football,team,Chelsea FC,切尔西,車路士,Chelsea,チェルシー,Chelsea,Chelsea | Chelsea FC | 切尔西 | 蓝军 | 車路士
fb_club_alianza_lima,football,team,Club Alianza Lima,利马联盟,利馬聯,Alianza Lima,アリアンサ・リマ,Alianza Lima,Alianza Lima | Club Alianza Lima | 利馬聯 | 利马联盟
fb_club_always_ready,football,team,Club Always Ready,随时准备,常備隊,Always Ready,オールウェイズ・レディ,Always Ready,Always Ready | Club Always Ready | 常備隊 | 随时准备
fb_club_atl_tico_de_madrid,football,team,Club Atlético de Madrid,马德里竞技,馬德里體育會,Atlético Madrid,アトレティコ・マドリード,Atlético de Madrid,Atletico Madrid | Atlético Madrid | Club Atlético de Madrid | 馬德里體育會 | 马德里竞技 | 马竞
fb_club_bol_var,football,team,Club Bolívar,玻利瓦尔,玻利瓦爾,Club Bolívar,クラブ・ボリバル,Bolívar,Bolivar | Club Bolívar | 玻利瓦尔 | 玻利瓦爾
fb_club_brugge_kv,football,team,Club Brugge KV,布鲁日,布魯日,Club Brugge,クラブ・ブルッヘ,Club Brujas,Club Brugge | Club Brugge KV | 布魯日 | 布鲁日
fb_club_cerro_porte_o,football,team,Club Cerro Porteño,波特诺山丘,波特諾山丘,Cerro Porteño,セロ・ポルテーニョ,Cerro Porteño,Cerro Porteno | Cerro Porteño | Club Cerro Porteño | 波特諾山丘 | 波特诺山丘
fb_club_guaran,football,team,Club Guaraní,瓜拉尼,瓜拉尼,Club Guaraní,クラブ・グアラニ,Guaraní,Club Guaraní | Guarani | 瓜拉尼
fb_club_libertad_asuncion,football,team,Club Libertad Asuncion,亚松森自由,自由隊,Libertad Asunción,クラブ・リベルタ,Libertad,Club Libertad Asuncion | Libertad | Libertad Asunción | 亚松森自由 | 自由隊
fb_club_nacional_potos,football,team,Club Nacional Potosí,波托西国民,普托斯國民,Nacional Potosí,ナシオナル・ポトシ,Nacional Potosí,Club Nacional Potosí | Nacional Potosi | Nacional Potosí | 普托斯國民 | 波托西国民
fb_club_nacional_de_football,football,team,Club Nacional de Football,乌拉圭民族,蒙特維多國民隊,Nacional,クルブ・ナシオナル,Nacional de Montevideo,Club Nacional de Football | Nacional | 乌拉圭民族 | 蒙特維多國民隊
fb_club_the_strongest,football,team,Club The Strongest,最强者,最強者,The Strongest,ザ・ストロンゲスト,The Strongest,Club The Strongest | The Strongest | 最強者 | 最强者
fb_club_universitario_de_deportes,football,team,Club Universitario de Deportes,秘鲁体育大学,秘魯體育大學,Universitario,ウニベルシタリオ,Universitario de Deportes,Club Universitario de Deportes | Universitario | 秘魯體育大學 | 秘鲁体育大学
fb_clube_do_remo,football,team,Clube do Remo,雷莫,雷莫,Remo,クルーベ・ド・レモ,Remo,Clube do Remo | Remo | 雷莫
fb_colombia,football,team,Colombia,哥伦比亚,哥倫比亞,Colombia,コロンビア,Colombia,Colombia | 哥伦比亚 | 哥倫比亞
fb_como_1907,football,team,Como 1907,科莫,高莫,Como,コモ1907,Como,Como | Como 1907 | 科莫 | 高莫
fb_congo_dr,football,team,Congo DR,民主刚果,剛果民主共和國,DR Congo,コンゴ民主共和国,RD del Congo,Congo DR | DR Congo | 刚果金 | 剛果民主共和國 | 民主刚果
fb_coritiba_fbc,football,team,Coritiba FBC,科里蒂巴,哥列迪巴,Coritiba,コリチーバ,Coritiba,Coritiba | Coritiba FBC | 哥列迪巴 | 科里蒂巴
fb_coventry_city_fc,football,team,Coventry City FC,考文垂,高云地利,Coventry City,コヴェントリー・シティ,Coventry City,Coventry City | Coventry City FC | 考文垂 | 高云地利
fb_croatia,football,team,Croatia,克罗地亚,克羅地亞,Croatia,クロアチア,Croacia,Croatia | 克罗地亚 | 克羅地亞
fb_cruzeiro_ec,football,team,Cruzeiro EC,克鲁塞罗,高士路,Cruzeiro,クルゼイロ,Cruzeiro,Cruzeiro | Cruzeiro EC | 克鲁塞罗 | 高士路
fb_crystal_palace_fc,football,team,Crystal Palace FC,水晶宫,水晶宮,Crystal Palace,クリスタル・パレス,Crystal Palace,Crystal Palace | Crystal Palace FC | 水晶宫 | 水晶宮
fb_cura_ao,football,team,Curaçao,库拉索,庫拉索,Curaçao,キュラソー,Curazao,Curacao | Curaçao | 库拉索 | 庫拉索
fb_cusco_fc,football,team,Cusco FC,库斯科,庫斯科,Cusco FC,クスコFC,Cusco FC,Cusco | Cusco FC | 库斯科 | 庫斯科
fb_czechia,football,team,Czechia,捷克,捷克,Czech Republic,チェコ,Chequia,Czech Republic | Czechia | 捷克
fb_deportivo_alav_s,football,team,Deportivo Alavés,阿拉维斯,艾拉維斯,Alavés,デポルティーボ・アラベス,Alavés,Alaves | Alavés | Deportivo Alavés | 艾拉維斯 | 阿拉维斯
fb_deportivo_la_guaira_fc,football,team,Deportivo La Guaira FC,拉瓜伊拉,拉瓜伊拉,Deportivo La Guaira,デポルティーボ・ラ・グアイラ,Deportivo La Guaira,Deportivo La Guaira | Deportivo La Guaira FC | La Guaira | 拉瓜伊拉
fb_deportivo_t_chira_fc,football,team,Deportivo Táchira FC,塔奇拉竞技,塔奇拉,Deportivo Táchira,デポルティーボ・タチラ,Deportivo Táchira,Deportivo Tachira | Deportivo Táchira | Deportivo Táchira FC | 塔奇拉 | 塔奇拉竞技
fb_derby_county_fc,football,team,Derby County FC,德比郡,打比郡,Derby County,ダービー・カウンティ,Derby County,Derby County | Derby County FC | 德比郡 | 打比郡
fb_ec_bahia,football,team,EC Bahia,巴伊亚,巴希亞,Bahia,バイーア,Bahia,Bahia | EC Bahia | 巴伊亚 | 巴希亞
fb_ec_juventude,football,team,EC Juventude,尤文图德,青年人,Juventude,ジュベントゥージ,Juventude,EC Juventude | Juventude | 尤文图德 | 青年人
fb_ec_vit_ria,football,team,EC Vitória,维多利亚,維多利亞,Vitória,ヴィトーリア,Vitória,EC Vitoria | EC Vitória | Vitória | 維多利亞 | 维多利亚
fb_es_troyes_ac,football,team,ES Troyes AC,特鲁瓦,特魯瓦,Troyes,ESトロワAC,Troyes,ES Troyes AC | Troyes | 特魯瓦 | 特鲁瓦
fb_ecuador,football,team,Ecuador,厄瓜多尔,厄瓜多爾,Ecuador,エクアドル,Ecuador,Ecuador | 厄瓜多尔 | 厄瓜多爾
fb_egypt,football,team,Egypt,埃及,埃及,Egypt,エジプト,Egipto,Egypt | 埃及
fb_eintracht_frankfurt,football,team,Eintracht Frankfurt,法兰克福,法蘭克福,Eintracht Frankfurt,アイントラハト・フランクフルト,Eintracht Frankfurt,Eintracht Frankfurt | Frankfurt | 法兰克福 | 法蘭克福
fb_elche_cf,football,team,Elche CF,埃尔切,艾尔切,Elche,エルチェCF,Elche,Elche | Elche CF | 埃尔切 | 艾尔切
fb_england,football,team,England,英格兰,英格蘭,England,イングランド,Inglaterra,England | 英格兰 | 英格蘭
fb_estudiantes_de_la_plata,football,team,Estudiantes de La Plata,拉普拉塔大学生,學生隊,Estudiantes,エストゥディアンテス・デ・ラ・プラタ,Estudiantes de La Plata,Estudiantes | Estudiantes de La Plata | 學生隊 | 拉普拉塔大学生
fb_everton_fc,football,team,Everton FC,埃弗顿,愛華頓,Everton,エヴァートン,Everton,Everton | Everton FC | 埃弗顿 | 太妃糖 | 愛華頓
fb_fc_alverca,football,team,FC Alverca,阿尔维卡,阿爾維卡,Alverca,FCアルヴェルカ,Alverca,Alverca | FC Alverca | 阿尔维卡 | 阿爾維卡
fb_fc_arouca,football,team,FC Arouca,阿罗卡,阿洛卡,Arouca,FCアロウカ,Arouca,Arouca | FC Arouca | 阿洛卡 | 阿罗卡
fb_fc_augsburg,football,team,FC Augsburg,奥格斯堡,奧格斯堡,FC Augsburg,FCアウクスブルク,FC Augsburgo,Augsburg | FC Augsburg | 奥格斯堡 | 奧格斯堡
fb_fc_barcelona,football,team,FC Barcelona,巴塞罗那,巴塞隆拿,Barcelona,FCバルセロナ,Barcelona,Barca | Barcelona | FC Barcelona | 巴塞罗那 | 巴塞隆拿 | 巴萨
fb_fc_bayern_m_nchen,football,team,FC Bayern München,拜仁慕尼黑,拜仁慕尼黑,Bayern Munich,バイエルン・ミュンヘン,Bayern de Múnich,Bayern | Bayern Munich | FC Bayern München | 拜仁 | 拜仁慕尼黑
fb_fc_famalic_o,football,team,FC Famalicão,法马利康,法馬利卡奧,Famalicão,FCファマリカン,Famalicão,FC Famalicão | Famalicao | Famalicão | 法馬利卡奧 | 法马利康
fb_fc_groningen,football,team,FC Groningen,格罗宁根,格羅寧根,FC Groningen,FCフローニンゲン,FC Groningen,FC Groningen | Groningen | 格罗宁根 | 格羅寧根
fb_fc_internazionale_milano,football,team,FC Internazionale Milano,国际米兰,國際米蘭,Inter Milan,インテル・ミラノ,Inter de Milán,FC Internazionale Milano | Inter | Inter Milan | 国际米兰 | 國米 | 國際米蘭 | 藍黑軍團
fb_fc_k_benhavn,football,team,FC København,哥本哈根,哥本哈根,FC Copenhagen,FCコペンハーゲン,Copenhague,FC Copenhagen | FC København | 哥本哈根
fb_fc_lorient,football,team,FC Lorient,洛里昂,羅連安特,Lorient,FCロリアン,Lorient,FC Lorient | Lorient | 洛里昂 | 羅連安特
fb_fc_metz,football,team,FC Metz,梅斯,梅斯,Metz,FCメス,Metz,FC Metz | Metz | 梅斯
fb_fc_nantes,football,team,FC Nantes,南特,南特,Nantes,FCナント,Nantes,FC Nantes | Nantes | 南特
fb_fc_porto,football,team,FC Porto,波尔图,波圖,FC Porto,FCポルト,FC Porto,FC Porto | Porto | 波圖 | 波尔图
fb_fc_schalke_04,football,team,FC Schalke 04,沙尔克04,史浩克零四,Schalke 04,FCシャルケ04,Schalke 04,FC Schalke 04 | Schalke | Schalke 04 | 史浩克零四 | 沙尔克04
fb_fc_st_pauli_1910,football,team,FC St. Pauli 1910,圣保利,聖保利,St. Pauli,FCザンクトパウリ1910,St. Pauli,FC St. Pauli 1910 | St. Pauli | 圣保利 | 聖保利
fb_fc_twente_65,football,team,FC Twente '65,特温特,川迪,FC Twente,FCトゥウェンテ,FC Twente,FC Twente | FC Twente '65 | 川迪 | 特温特
